ID,Page_name,Response_time,StartTime,EndTime
7556,02_Watchlist,1.015,25-11-2022 08:30,25-11-2022 08:30
7557,03_Logout,2.19,25-11-2022 08:31,25-11-2022 08:31
7558,01_Login,0.973,25-11-2022 08:35,25-11-2022 08:35
7559,02_Watchlist,0.723,25-11-2022 08:35,25-11-2022 08:35
7560,03_Logout,2.219,25-11-2022 08:36,25-11-2022 08:36
7561,01_Login,4.079,25-11-2022 08:40,25-11-2022 08:40
7562,02_Watchlist,0.707,25-11-2022 08:40,25-11-2022 08:40
7563,03_Logout,2.174,25-11-2022 08:41,25-11-2022 08:41
7564,01_Login,0.225,25-11-2022 08:45,25-11-2022 08:45
7565,02_Watchlist,0.713,25-11-2022 08:45,25-11-2022 08:45
7566,03_Logout,2.241,25-11-2022 08:46,25-11-2022 08:46
7567,01_Login,3.578,25-11-2022 08:50,25-11-2022 08:50
7568,02_Watchlist,0.71,25-11-2022 08:50,25-11-2022 08:50
7569,03_Logout,2.826,25-11-2022 08:51,25-11-2022 08:51
7570,01_Login,1.892,25-11-2022 08:55,25-11-2022 08:55
7571,02_Watchlist,0.71,25-11-2022 08:55,25-11-2022 08:55
7572,03_Logout,2.283,25-11-2022 08:56,25-11-2022 08:56
7573,01_Login,0.734,25-11-2022 09:00,25-11-2022 09:00
7574,02_Watchlist,1.044,25-11-2022 09:00,25-11-2022 09:00
7575,01_Login,1.727,25-11-2022 09:05,25-11-2022 09:05
7576,02_Watchlist,0.711,25-11-2022 09:05,25-11-2022 09:05
7577,01_Login,0.798,25-11-2022 09:10,25-11-2022 09:10
7578,02_Watchlist,0.714,25-11-2022 09:10,25-11-2022 09:10
7579,01_Login,1.015,25-11-2022 09:15,25-11-2022 09:15
7580,02_Watchlist,1.062,25-11-2022 09:15,25-11-2022 09:15
7581,01_Login,1.442,25-11-2022 09:20,25-11-2022 09:20
7582,02_Watchlist,0.711,25-11-2022 09:20,25-11-2022 09:20
7583,01_Login,0.81,25-11-2022 09:25,25-11-2022 09:25
7584,02_Watchlist,0.719,25-11-2022 09:25,25-11-2022 09:25
7585,01_Login,0.864,25-11-2022 09:30,25-11-2022 09:30
7586,02_Watchlist,0.716,25-11-2022 09:30,25-11-2022 09:30
7587,01_Login,1.177,25-11-2022 09:35,25-11-2022 09:35
7588,02_Watchlist,0.713,25-11-2022 09:35,25-11-2022 09:35
7589,01_Login,0.425,25-11-2022 09:40,25-11-2022 09:40
7590,02_Watchlist,0.703,25-11-2022 09:40,25-11-2022 09:40
7591,01_Login,1.821,25-11-2022 09:45,25-11-2022 09:45
7592,02_Watchlist,0.876,25-11-2022 09:45,25-11-2022 09:45
7593,01_Login,0.505,25-11-2022 09:50,25-11-2022 09:50
7594,02_Watchlist,1.422,25-11-2022 09:50,25-11-2022 09:50
7595,01_Login,1.316,25-11-2022 09:55,25-11-2022 09:55
7596,02_Watchlist,0.717,25-11-2022 09:55,25-11-2022 09:55
7597,01_Login,12.268,25-11-2022 09:57,25-11-2022 09:58
7598,02_Watchlist,1.186,25-11-2022 09:58,25-11-2022 09:58
7599,01_Login,0.561,25-11-2022 10:00,25-11-2022 10:00
